Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Global,,262866050,3372.4381155648334,3937984,50.522337670020384,646824,5224519,67.02792928600962,47878,0.6142504598711523,8475,
United States of America,Americas,48282078,14586.614,579861,175.183,119677,776505,234.592,5952,1.798,1637
India,South-East Asia,34606541,2507.712,61659,4.468,9765,469724,34.038,2744,0.199,477
Brazil,Americas,22094459,10394.486,64277,30.24,9710,614681,289.181,1615,0.76,305
The United Kingdom,Europe,10276011,15137.157,301164,443.632,47235,145140,213.8,854,1.258,171
Russian Federation,Europe,9703107,6648.948,234918,160.975,33389,277640,190.25,8583,5.881,1221
Turkey,Europe,8818144,10455.586,165972,196.791,22556,77038,91.343,1420,1.684,196
France,Europe,7490677,11517.145,238869,367.268,49563,116750,179.507,508,0.781,95
Iran (Islamic Republic of),Eastern Mediterranean,6121757,7288.418,28935,34.449,4312,129912,154.67,632,0.752,82
Germany,Europe,5977208,7187.02,403452,485.112,73209,102178,122.859,2059,2.476,388
Argentina,Americas,5330748,11794.793,13115,29.018,2332,116589,257.964,174,0.385,35
Spain,Europe,5174720,10932.673,57485,121.449,6835,88080,186.087,114,0.241,9
Colombia,Americas,5069644,9963.357,16911,33.235,2296,128528,252.596,340,0.668,55
Italy,Europe,5043620,8456.563,89035,149.284,15073,133931,224.56,516,0.865,103
Indonesia,South-East Asia,4256998,1556.355,2183,0.798,311,143850,52.591,68,0.025,10
Mexico,Americas,3887873,3015.427,10507,8.149,3307,294246,228.217,550,0.427,296
Poland,Europe,3596491,9474.888,162100,427.049,27354,84656,223.025,2467,6.499,503
Ukraine,Europe,3463872,7920.362,79468,181.709,13531,87057,199.061,3516,8.04,525
South Africa,Africa,2976613,5018.848,26578,44.813,8561,89871,151.531,214,0.361,28
Philippines,Western Pacific,2833038,2585.335,4395,4.011,500,48712,44.453,1030,0.94,167
Netherlands,Europe,2661691,15290.409,149951,861.412,18588,19459,111.785,362,2.08,45
Malaysia,Western Pacific,2638221,8151.211,35386,109.331,5439,30474,94.154,327,1.01,49
Peru,Americas,2236351,6782.606,9695,29.404,1381,201176,610.145,245,0.743,32
Czechia,Europe,2193289,20509.646,130828,1223.385,21126,33317,311.55,702,6.564,67
Thailand,South-East Asia,2125729,3045.458,37402,53.585,4971,20847,29.867,266,0.381,33
Iraq,Eastern Mediterranean,2082061,5176.36,5139,12.776,889,23844,59.28,119,0.296,24
Canada,Americas,1792500,4749.331,20181,53.471,2358,29687,78.657,132,0.35,17
Belgium,Europe,1786444,15504.043,90283,783.541,9,27072,234.95,280,2.43,3
Romania,Europe,1780808,9213.218,11025,57.039,1141,56618,292.92,1001,5.179,89
Chile,Americas,1764274,9229.208,15175,79.383,1523,38356,200.647,181,0.947,10
Japan,Western Pacific,1727431,1365.812,726,0.574,127,18362,14.518,10,0.008,2
Bangladesh,South-East Asia,1576566,957.297,1381,0.839,0,27983,16.991,13,0.008,0
Israel,Europe,1344290,15530.976,3585,41.419,526,8199,94.725,13,0.15,0
Pakistan,Eastern Mediterranean,1285254,581.846,2394,1.084,414,28737,13.01,60,0.027,9
Serbia,Europe,1257025,18147.517,15533,224.248,2180,11744,169.547,359,5.183,53
Viet Nam,Western Pacific,1252590,1286.838,96812,99.459,14508,25448,26.144,1205,1.238,196
Sweden,Europe,1207498,11691.964,12878,124.695,2636,15161,146.801,2,0.019,0
Austria,Europe,1169208,13135.598,76113,855.1,11050,12120,136.163,361,4.056,56
Portugal,Europe,1151919,11188.123,21828,212.007,4670,18458,179.275,88,0.855,17
Hungary,Europe,1124726,11512.595,67709,693.063,10466,34931,357.551,1227,12.559,218
Kazakhstan,Europe,1055779,5622.812,6142,32.711,807,17871,95.176,120,0.639,15
Switzerland,Europe,1020320,11789.313,40804,471.471,9,11114,128.417,71,0.82,0
Cuba,Americas,962628,8498.814,1170,10.33,142,8305,73.323,6,0.053,1
Jordan,Eastern Mediterranean,958990,9398.975,30734,301.221,5047,11633,114.014,204,1.999,25
Morocco,Eastern Mediterranean,950088,2574.028,825,2.235,171,14779,40.04,9,0.024,3
Greece,Europe,945095,8817.365,43434,405.222,6192,18234,170.116,622,5.803,77
Georgia,Europe,853833,21403.749,27119,679.815,3731,12191,305.602,455,11.406,72
Nepal,South-East Asia,821949,2820.999,1664,5.711,298,11535,39.589,19,0.065,6
United Arab Emirates,Eastern Mediterranean,742109,7503.325,466,4.712,68,2148,21.718,3,0.03,1
Tunisia,Eastern Mediterranean,717710,6072.706,1008,8.529,138,25376,214.712,20,0.169,3
Slovakia,Europe,697471,12779.172,55568,1018.126,7853,14606,267.613,499,9.143,103
Bulgaria,Europe,697162,10028.969,14610,210.171,2105,28542,410.589,764,10.99,89
Lebanon,Eastern Mediterranean,672548,9853.541,10279,150.598,1892,8735,127.977,59,0.864,10
Belarus,Europe,656510,6947.695,11441,121.077,1792,5098,53.951,103,1.09,17
Guatemala,Americas,618436,3451.947,2711,15.132,452,15956,89.062,86,0.48,13
Croatia,Europe,613914,15127.872,31145,767.465,5709,10967,270.245,462,11.384,68
Azerbaijan,Europe,590113,5820.128,11486,113.283,1795,7884,77.758,175,1.726,28
Ireland,Europe,573905,11560.317,31759,639.73,3790,5707,114.958,55,1.108,55
Costa Rica,Americas,566839,11127.324,720,14.134,48,7299,143.283,28,0.55,3
Sri Lanka,South-East Asia,564733,2637.306,4388,20.492,0,14372,67.117,140,0.654,0
Saudi Arabia,Eastern Mediterranean,549786,1579.215,196,0.563,34,8837,25.384,9,0.026,1
Bolivia (Plurinational State of),Americas,538647,4614.461,7219,61.843,1088,19188,164.379,92,0.788,17
Ecuador,Americas,526870,2986.274,2015,11.421,0,33250,188.459,119,0.674,0
Myanmar,South-East Asia,522825,960.902,2612,4.801,0,19111,35.124,53,0.097,0
Denmark,Europe,492521,8458.545,30094,516.834,5120,2909,49.959,80,1.374,14
Panama,Americas,477742,11072.255,1399,32.424,134,7365,170.693,9,0.209,3
Lithuania,Europe,474184,16970.964,11753,420.638,1945,6788,242.941,161,5.762,29
Paraguay,Americas,463058,6492.191,669,9.38,57,16472,230.942,108,1.514,3
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,461157,9039.788,1944,38.107,358,4806,94.209,18,0.353,3
Republic of Korea,Western Pacific,457612,892.567,28612,55.807,5266,3705,7.227,304,0.593,47
Venezuela (Bolivarian Republic of),Americas,431945,1519.011,5146,18.097,649,5155,18.128,58,0.204,11
Slovenia,Europe,423162,20190.366,14515,692.555,2257,5586,266.525,42,2.004,5
Kuwait,Eastern Mediterranean,413383,9679.806,185,4.332,21,2465,57.721,0,0,0
Dominican Republic,Americas,407474,3756.244,2720,25.074,223,4210,38.809,15,0.138,6
Uruguay,Americas,399695,11506.22,1482,42.663,191,6131,176.496,15,0.432,1
Mongolia,Western Pacific,382718,11674.318,2979,90.871,441,1935,59.025,32,0.976,3
Honduras,Americas,377976,3816.164,387,3.907,88,10409,105.093,11,0.111,6
Libya,Eastern Mediterranean,373210,5431.439,3755,54.648,574,5466,79.548,52,0.757,10
Ethiopia,Africa,371672,323.295,960,0.835,136,6771,5.89,63,0.055,16
Republic of Moldova,Europe,364433,9034.119,4172,103.422,659,9141,226.601,191,4.735,22
Egypt,Eastern Mediterranean,359516,351.315,6492,6.344,938,20537,20.069,428,0.418,63
Armenia,Europe,339578,11459.709,3248,109.61,558,7631,257.523,212,7.154,21
Oman,Eastern Mediterranean,304572,5964.251,58,1.136,18,4113,80.542,0,0,0
Bahrain,Eastern Mediterranean,277721,16321.408,240,14.105,31,1394,81.924,0,0,0
Bosnia and Herzegovina,Europe,275965,8411.477,4642,141.489,900,12628,384.904,242,7.376,42
Norway,Europe,267828,4989.735,17067,317.965,978,1092,20.344,48,0.894,10
Singapore,Western Pacific,266049,4547.58,8539,145.957,1324,726,12.41,48,0.82,8
Kenya,Africa,255164,474.536,348,0.647,76,5335,9.922,3,0.006,0
Latvia,Europe,254690,13350.807,5653,296.329,1031,4213,220.845,149,7.811,34
Qatar,Eastern Mediterranean,243607,8455.485,1089,37.799,160,611,21.208,0,0,0
Estonia,Europe,223689,16831.681,3811,286.762,518,1808,136.045,35,2.634,5
North Macedonia,Europe,215995,10367.528,2689,129.069,410,7592,364.408,114,5.472,11
Nigeria,Africa,214270,103.944,452,0.219,52,2978,1.445,4,0.002,1
Australia,Western Pacific,211654,830.019,9559,37.486,1440,2011,7.886,38,0.149,5
Algeria,Africa,210723,480.543,1260,2.873,192,6076,13.856,41,0.093,5
Zambia,Africa,210195,1143.361,96,0.522,26,3667,19.947,0,0,0
Albania,Europe,200173,6955.765,2397,83.293,228,3101,107.756,38,1.32,5
Botswana,Africa,195068,8295.023,416,17.69,0,2418,102.822,2,0.085,0
Uzbekistan,Europe,193633,578.541,1458,4.356,209,1409,4.21,20,0.06,3
Finland,Europe,189730,3433.846,7301,132.138,489,1356,24.542,2,0.036,0
Puerto Rico,Americas,188171,6577.444,590,20.623,157,3270,114.302,4,0.14,0
Kyrgyzstan,Europe,183460,2811.996,394,6.039,56,2752,42.181,18,0.276,3
Kosovo[1],Europe,161056,8969.151,62,3.453,8,2974,165.621,1,0.056,0
Montenegro,Europe,157610,25094.656,1898,302.199,232,2307,367.32,46,7.324,7
Afghanistan,Eastern Mediterranean,157359,404.227,327,0.84,70,7309,18.776,3,0.008,1
Mozambique,Africa,151594,485.016,91,0.291,46,1941,6.21,1,0.003,0
Zimbabwe,Africa,135337,910.568,1590,10.698,685,4707,31.669,4,0.027,0
Cyprus,Europe,134965,15198.676,3503,394.48,492,598,67.342,8,0.901,1
Ghana,Africa,130920,421.331,0,0,0,1209,3.891,0,0,0
Namibia,Africa,129160,5083.228,34,1.338,0,3573,140.619,2,0.079,0
China,Western Pacific,128022,8.701,420,0.029,84,5697,0.387,0,0,0
Uganda,Africa,127618,279.001,281,0.614,29,3252,7.11,2,0.004,0
Cambodia,Western Pacific,120160,718.705,183,1.095,26,2944,17.609,30,0.179,4
El Salvador,Americas,119803,1847.043,1762,27.165,0,3778,58.247,16,0.247,2
Cameroon,Africa,107148,403.634,354,1.334,0,1804,6.796,13,0.049,0
Rwanda,Africa,100362,774.863,85,0.656,13,1343,10.369,2,0.015,1
Maldives,South-East Asia,91750,16973.641,628,116.179,0,251,46.435,3,0.555,0
Jamaica,Americas,91272,3082.298,367,12.394,23,2396,80.914,31,1.047,4
Luxembourg,Europe,89766,14337.143,2414,385.556,585,876,139.912,13,2.076,1
Lao People's Democratic Republic,Western Pacific,75163,1033.089,9345,128.444,1425,178,2.447,36,0.495,8
Senegal,Africa,73990,441.892,17,0.102,3,1885,11.258,0,0,0
Trinidad and Tobago,Americas,71361,5099.079,4386,313.4,763,2158,154.199,160,11.433,24
Angola,Africa,65183,198.328,103,0.313,15,1735,5.279,4,0.012,2
Malawi,Africa,61926,323.712,59,0.308,10,2306,12.054,2,0.01,0
Côte d’Ivoire,Africa,61752,234.102,92,0.349,28,704,2.669,1,0.004,0
Réunion,Africa,61188,6834.266,2140,239.023,0,384,42.89,3,0.335,0
